id,country,year,month,date,monthly_rainfall_mm,average_monthly_rainfall
50,Angola,1994,Feb,1994-02-01,141.93,84.18
51,Angola,1994,Mar,1994-03-01,149.34,81.95
52,Angola,1994,Apr,1994-04-01,99.95,80.62
53,Angola,1994,May,1994-05-01,16.68,80.82
54,Angola,1994,Jun,1994-06-01,0.51,80.82
55,Angola,1994,Jul,1994-07-01,0.75,80.83
56,Angola,1994,Aug,1994-08-01,3.5,80.91
57,Angola,1994,Sep,1994-09-01,19.98,80.81
58,Angola,1994,Oct,1994-10-01,85.82,81.86
59,Angola,1994,Nov,1994-11-01,148.22,82.10
60,Angola,1994,Dec,1994-12-01,153.52,82.18
61,Angola,1995,Jan,1995-01-01,124.19,78.70
62,Angola,1995,Feb,1995-02-01,147.06,79.13
63,Angola,1995,Mar,1995-03-01,166.2,80.53
64,Angola,1995,Apr,1995-04-01,102.51,80.75
65,Angola,1995,May,1995-05-01,17.57,80.82
66,Angola,1995,Jun,1995-06-01,0.48,80.82
67,Angola,1995,Jul,1995-07-01,0.49,80.80
68,Angola,1995,Aug,1995-08-01,4.47,80.88
69,Angola,1995,Sep,1995-09-01,22.21,81.06
70,Angola,1995,Oct,1995-10-01,81.03,80.66
71,Angola,1995,Nov,1995-11-01,139.55,79.94
72,Angola,1995,Dec,1995-12-01,150.86,79.72
73,Angola,1996,Jan,1996-01-01,170.52,83.58
74,Angola,1996,Feb,1996-02-01,142.08,83.16
75,Angola,1996,Mar,1996-03-01,166.39,83.18
76,Angola,1996,Apr,1996-04-01,106.56,83.52
77,Angola,1996,May,1996-05-01,15.41,83.34
78,Angola,1996,Jun,1996-06-01,0.7,83.36
79,Angola,1996,Jul,1996-07-01,0.91,83.39
80,Angola,1996,Aug,1996-08-01,3.65,83.32
81,Angola,1996,Sep,1996-09-01,22.39,83.34
82,Angola,1996,Oct,1996-10-01,70.45,82.46
83,Angola,1996,Nov,1996-11-01,141.4,82.61
84,Angola,1996,Dec,1996-12-01,150.91,82.61
85,Angola,1997,Jan,1997-01-01,178.37,83.27
86,Angola,1997,Feb,1997-02-01,161.88,84.92
87,Angola,1997,Mar,1997-03-01,205.26,88.16
88,Angola,1997,Apr,1997-04-01,98.3,87.47
89,Angola,1997,May,1997-05-01,17.73,87.66
90,Angola,1997,Jun,1997-06-01,0.82,87.67
91,Angola,1997,Jul,1997-07-01,0.76,87.66
92,Angola,1997,Aug,1997-08-01,4.55,87.74
93,Angola,1997,Sep,1997-09-01,24.38,87.90
94,Angola,1997,Oct,1997-10-01,87.25,89.30
95,Angola,1997,Nov,1997-11-01,134.29,88.71
96,Angola,1997,Dec,1997-12-01,167.54,90.09
97,Angola,1998,Jan,1998-01-01,167.48,89.19
98,Angola,1998,Feb,1998-02-01,127.07,86.29
99,Angola,1998,Mar,1998-03-01,189.46,84.97
100,Angola,1998,Apr,1998-04-01,106.29,85.64
101,Angola,1998,May,1998-05-01,15.72,85.47
102,Angola,1998,Jun,1998-06-01,0.64,85.45
103,Angola,1998,Jul,1998-07-01,0.65,85.44
104,Angola,1998,Aug,1998-08-01,3.77,85.38
105,Angola,1998,Sep,1998-09-01,25.75,85.49
106,Angola,1998,Oct,1998-10-01,73.98,84.39
107,Angola,1998,Nov,1998-11-01,147.49,85.49
108,Angola,1998,Dec,1998-12-01,173.19,85.96
109,Angola,1999,Jan,1999-01-01,163.65,85.64
110,Angola,1999,Feb,1999-02-01,141,86.80
111,Angola,1999,Mar,1999-03-01,186.03,86.51
112,Angola,1999,Apr,1999-04-01,111.41,86.94
113,Angola,1999,May,1999-05-01,18.82,87.20
114,Angola,1999,Jun,1999-06-01,0.79,87.21
115,Angola,1999,Jul,1999-07-01,1.14,87.25
116,Angola,1999,Aug,1999-08-01,5.13,87.37
117,Angola,1999,Sep,1999-09-01,23.34,87.16
118,Angola,1999,Oct,1999-10-01,73.22,87.10
119,Angola,1999,Nov,1999-11-01,152.81,87.54
120,Angola,1999,Dec,1999-12-01,185.04,88.53
121,Angola,2000,Jan,2000-01-01,163.41,88.51
122,Angola,2000,Feb,2000-02-01,153.71,89.57
123,Angola,2000,Mar,2000-03-01,188.38,89.77
124,Angola,2000,Apr,2000-04-01,113.04,89.90
125,Angola,2000,May,2000-05-01,22.89,90.24
126,Angola,2000,Jun,2000-06-01,0.94,90.25
127,Angola,2000,Jul,2000-07-01,0.56,90.21
128,Angola,2000,Aug,2000-08-01,3.83,90.10
129,Angola,2000,Sep,2000-09-01,23.24,90.09
130,Angola,2000,Oct,2000-10-01,70.48,89.86
131,Angola,2000,Nov,2000-11-01,143.16,89.06
132,Angola,2000,Dec,2000-12-01,171.29,87.91
133,Angola,2001,Jan,2001-01-01,163.88,87.95
134,Angola,2001,Feb,2001-02-01,161.85,88.63
135,Angola,2001,Mar,2001-03-01,185.02,88.35
136,Angola,2001,Apr,2001-04-01,122.41,89.13
137,Angola,2001,May,2001-05-01,17.48,88.68
138,Angola,2001,Jun,2001-06-01,1.21,88.70
139,Angola,2001,Jul,2001-07-01,0.7,88.71
140,Angola,2001,Aug,2001-08-01,3.31,88.67
141,Angola,2001,Sep,2001-09-01,20.47,88.44
142,Angola,2001,Oct,2001-10-01,71.01,88.48
143,Angola,2001,Nov,2001-11-01,147.06,88.81
144,Angola,2001,Dec,2001-12-01,150.8,87.10
145,Angola,2002,Jan,2002-01-01,165.33,87.22
146,Angola,2002,Feb,2002-02-01,155.1,86.66
147,Angola,2002,Mar,2002-03-01,175.2,85.84
148,Angola,2002,Apr,2002-04-01,121.57,85.77
149,Angola,2002,May,2002-05-01,17.3,85.76
150,Angola,2002,Jun,2002-06-01,0.88,85.73
151,Angola,2002,Jul,2002-07-01,0.83,85.74
152,Angola,2002,Aug,2002-08-01,6.21,85.98
153,Angola,2002,Sep,2002-09-01,27.49,86.57
154,Angola,2002,Oct,2002-10-01,89.34,88.09
155,Angola,2002,Nov,2002-11-01,150.62,88.39
156,Angola,2002,Dec,2002-12-01,168.89,89.90
157,Angola,2003,Jan,2003-01-01,153.78,88.93
158,Angola,2003,Feb,2003-02-01,149.46,88.46
159,Angola,2003,Mar,2003-03-01,173.75,88.34
160,Angola,2003,Apr,2003-04-01,114.09,87.72
161,Angola,2003,May,2003-05-01,14.36,87.48
162,Angola,2003,Jun,2003-06-01,1.02,87.49
163,Angola,2003,Jul,2003-07-01,0.68,87.47
164,Angola,2003,Aug,2003-08-01,3.59,87.26
165,Angola,2003,Sep,2003-09-01,19.93,86.63
166,Angola,2003,Oct,2003-10-01,84.21,86.20
167,Angola,2003,Nov,2003-11-01,147.03,85.90
168,Angola,2003,Dec,2003-12-01,162.09,85.33
169,Angola,2004,Jan,2004-01-01,171.32,86.79
170,Angola,2004,Feb,2004-02-01,148.47,86.71
171,Angola,2004,Mar,2004-03-01,198.93,88.81
172,Angola,2004,Apr,2004-04-01,117.61,89.10
173,Angola,2004,May,2004-05-01,11.11,88.83
174,Angola,2004,Jun,2004-06-01,0.68,88.80
175,Angola,2004,Jul,2004-07-01,0.77,88.81
176,Angola,2004,Aug,2004-08-01,4.58,88.89
177,Angola,2004,Sep,2004-09-01,21,88.98
178,Angola,2004,Oct,2004-10-01,75.98,88.30
179,Angola,2004,Nov,2004-11-01,150.56,88.59
180,Angola,2004,Dec,2004-12-01,160.38,88.45
181,Angola,2005,Jan,2005-01-01,153.39,86.96
182,Angola,2005,Feb,2005-02-01,141.96,86.41
183,Angola,2005,Mar,2005-03-01,179.16,84.77
184,Angola,2005,Apr,2005-04-01,114.46,84.50
185,Angola,2005,May,2005-05-01,13.18,84.68
186,Angola,2005,Jun,2005-06-01,0.62,84.67
187,Angola,2005,Jul,2005-07-01,0.97,84.69
188,Angola,2005,Aug,2005-08-01,3.73,84.62
189,Angola,2005,Sep,2005-09-01,22.08,84.71
190,Angola,2005,Oct,2005-10-01,73.72,84.52
191,Angola,2005,Nov,2005-11-01,146.25,84.16
192,Angola,2005,Dec,2005-12-01,163.96,84.46
193,Angola,2006,Jan,2006-01-01,161.07,85.10
194,Angola,2006,Feb,2006-02-01,161.48,86.72
195,Angola,2006,Mar,2006-03-01,190.26,87.65
196,Angola,2006,Apr,2006-04-01,113.39,87.56
197,Angola,2006,May,2006-05-01,15.69,87.77
198,Angola,2006,Jun,2006-06-01,0.66,87.77
199,Angola,2006,Jul,2006-07-01,0.93,87.77
200,Angola,2006,Aug,2006-08-01,5.67,87.93
201,Angola,2006,Sep,2006-09-01,22.29,87.95
202,Angola,2006,Oct,2006-10-01,82.98,88.72
203,Angola,2006,Nov,2006-11-01,164.12,90.21
204,Angola,2006,Dec,2006-12-01,166.42,90.41
205,Angola,2007,Jan,2007-01-01,161.21,90.43
206,Angola,2007,Feb,2007-02-01,145.55,89.10
207,Angola,2007,Mar,2007-03-01,185.86,88.73
208,Angola,2007,Apr,2007-04-01,111.39,88.56
209,Angola,2007,May,2007-05-01,20.11,88.93
210,Angola,2007,Jun,2007-06-01,1.4,88.99
211,Angola,2007,Jul,2007-07-01,0.66,88.97
212,Angola,2007,Aug,2007-08-01,4.75,88.90
213,Angola,2007,Sep,2007-09-01,21.16,88.80
214,Angola,2007,Oct,2007-10-01,79.14,88.48
215,Angola,2007,Nov,2007-11-01,152.11,87.48
216,Angola,2007,Dec,2007-12-01,163.97,87.28
217,Angola,2008,Jan,2008-01-01,161.3,87.28
218,Angola,2008,Feb,2008-02-01,153.89,87.98
219,Angola,2008,Mar,2008-03-01,188.58,88.21
220,Angola,2008,Apr,2008-04-01,115.99,88.59
221,Angola,2008,May,2008-05-01,19.87,88.57
222,Angola,2008,Jun,2008-06-01,0.74,88.51
223,Angola,2008,Jul,2008-07-01,0.71,88.52
224,Angola,2008,Aug,2008-08-01,3.79,88.44
225,Angola,2008,Sep,2008-09-01,22.36,88.54
226,Angola,2008,Oct,2008-10-01,81.24,88.71
227,Angola,2008,Nov,2008-11-01,146.69,88.26
228,Angola,2008,Dec,2008-12-01,167.68,88.57
229,Angola,2009,Jan,2009-01-01,162.36,88.66
230,Angola,2009,Feb,2009-02-01,161.8,89.32
231,Angola,2009,Mar,2009-03-01,187.08,89.19
232,Angola,2009,Apr,2009-04-01,126.07,90.03
233,Angola,2009,May,2009-05-01,20.12,90.05
234,Angola,2009,Jun,2009-06-01,1.23,90.09
235,Angola,2009,Jul,2009-07-01,0.92,90.11
236,Angola,2009,Aug,2009-08-01,4.08,90.14
237,Angola,2009,Sep,2009-09-01,20.86,90.01
238,Angola,2009,Oct,2009-10-01,78.77,89.81
239,Angola,2009,Nov,2009-11-01,140.6,89.30
240,Angola,2009,Dec,2009-12-01,162.59,88.87
241,Angola,2010,Jan,2010-01-01,155.29,88.28
242,Angola,2010,Feb,2010-02-01,144.56,86.85
243,Angola,2010,Mar,2010-03-01,193.18,87.36
244,Angola,2010,Apr,2010-04-01,115.78,86.50
245,Angola,2010,May,2010-05-01,15.53,86.12
246,Angola,2010,Jun,2010-06-01,0.89,86.09
247,Angola,2010,Jul,2010-07-01,0.9,86.09
248,Angola,2010,Aug,2010-08-01,3.48,86.04
249,Angola,2010,Sep,2010-09-01,19.82,85.95
250,Angola,2010,Oct,2010-10-01,68.19,85.07
251,Angola,2010,Nov,2010-11-01,167.47,87.31
252,Angola,2010,Dec,2010-12-01,156.49,86.80
253,Angola,2011,Jan,2011-01-01,159.95,87.19
254,Angola,2011,Feb,2011-02-01,148.49,87.51
255,Angola,2011,Mar,2011-03-01,185.49,86.87
256,Angola,2011,Apr,2011-04-01,114.2,86.74
257,Angola,2011,May,2011-05-01,13.1,86.54
258,Angola,2011,Jun,2011-06-01,0.73,86.53
259,Angola,2011,Jul,2011-07-01,0.81,86.52
260,Angola,2011,Aug,2011-08-01,4.05,86.57
261,Angola,2011,Sep,2011-09-01,23.28,86.85
262,Angola,2011,Oct,2011-10-01,68.74,86.90
263,Angola,2011,Nov,2011-11-01,160.81,86.35
264,Angola,2011,Dec,2011-12-01,177.21,88.07
265,Angola,2012,Jan,2012-01-01,168.2,88.76
266,Angola,2012,Feb,2012-02-01,162.24,89.91
267,Angola,2012,Mar,2012-03-01,185.94,89.94
268,Angola,2012,Apr,2012-04-01,116.87,90.17
269,Angola,2012,May,2012-05-01,18.24,90.59
270,Angola,2012,Jun,2012-06-01,0.77,90.60
271,Angola,2012,Jul,2012-07-01,0.85,90.60
272,Angola,2012,Aug,2012-08-01,3.97,90.59
273,Angola,2012,Sep,2012-09-01,23.27,90.59
274,Angola,2012,Oct,2012-10-01,75.34,91.14
275,Angola,2012,Nov,2012-11-01,154.05,90.58
276,Angola,2012,Dec,2012-12-01,162.14,89.32
277,Angola,2013,Jan,2013-01-01,156.49,88.35
278,Angola,2013,Feb,2013-02-01,152.79,87.56
279,Angola,2013,Mar,2013-03-01,173.15,86.49
280,Angola,2013,Apr,2013-04-01,123.29,87.03
281,Angola,2013,May,2013-05-01,14.27,86.70
282,Angola,2013,Jun,2013-06-01,1.12,86.73
283,Angola,2013,Jul,2013-07-01,0.72,86.72
284,Angola,2013,Aug,2013-08-01,4.36,86.75
285,Angola,2013,Sep,2013-09-01,20.82,86.55
286,Angola,2013,Oct,2013-10-01,72.07,86.27
287,Angola,2013,Nov,2013-11-01,139.28,85.04
288,Angola,2013,Dec,2013-12-01,178.08,86.37
289,Angola,2014,Jan,2014-01-01,161.78,86.81
290,Angola,2014,Feb,2014-02-01,145.57,86.21
291,Angola,2014,Mar,2014-03-01,195.57,88.08
292,Angola,2014,Apr,2014-04-01,125.35,88.25
293,Angola,2014,May,2014-05-01,14.72,88.29
294,Angola,2014,Jun,2014-06-01,0.78,88.26
295,Angola,2014,Jul,2014-07-01,0.75,88.26
296,Angola,2014,Aug,2014-08-01,3.8,88.21
297,Angola,2014,Sep,2014-09-01,20.96,88.23
298,Angola,2014,Oct,2014-10-01,73.9,88.38
299,Angola,2014,Nov,2014-11-01,153.75,89.58
300,Angola,2014,Dec,2014-12-01,164.57,88.46
301,Angola,2015,Jan,2015-01-01,146.89,87.22
302,Angola,2015,Feb,2015-02-01,140.6,86.80
303,Angola,2015,Mar,2015-03-01,190.82,86.41
304,Angola,2015,Apr,2015-04-01,93.02,83.71
305,Angola,2015,May,2015-05-01,18.88,84.06
306,Angola,2015,Jun,2015-06-01,0.75,84.06
307,Angola,2015,Jul,2015-07-01,0.91,84.07
308,Angola,2015,Aug,2015-08-01,3.71,84.06
309,Angola,2015,Sep,2015-09-01,23.08,84.24
310,Angola,2015,Oct,2015-10-01,64.89,83.49
311,Angola,2015,Nov,2015-11-01,133.06,81.77
312,Angola,2015,Dec,2015-12-01,189.56,83.85
313,Angola,2016,Jan,2016-01-01,142,83.44
314,Angola,2016,Feb,2016-02-01,143.41,83.67
315,Angola,2016,Mar,2016-03-01,171.69,82.08
316,Angola,2016,Apr,2016-04-01,102.74,82.89
317,Angola,2016,May,2016-05-01,13.73,82.46
318,Angola,2016,Jun,2016-06-01,0.96,82.48
319,Angola,2016,Jul,2016-07-01,0.71,82.46
320,Angola,2016,Aug,2016-08-01,3.9,82.48
321,Angola,2016,Sep,2016-09-01,23.16,82.48
322,Angola,2016,Oct,2016-10-01,98.23,85.26
323,Angola,2016,Nov,2016-11-01,152.59,86.89
324,Angola,2016,Dec,2016-12-01,177.48,85.88
325,Angola,2017,Jan,2017-01-01,177.39,88.83
326,Angola,2017,Feb,2017-02-01,153.78,89.70
327,Angola,2017,Mar,2017-03-01,173.82,89.87
328,Angola,2017,Apr,2017-04-01,113.57,90.78
329,Angola,2017,May,2017-05-01,16.02,90.97
330,Angola,2017,Jun,2017-06-01,0.93,90.97
331,Angola,2017,Jul,2017-07-01,0.72,90.97
332,Angola,2017,Aug,2017-08-01,4.13,90.99
333,Angola,2017,Sep,2017-09-01,22.91,90.96
334,Angola,2017,Oct,2017-10-01,77.35,89.22
335,Angola,2017,Nov,2017-11-01,149.59,88.97
336,Angola,2017,Dec,2017-12-01,166.87,88.09
337,Angola,2018,Jan,2018-01-01,160.84,86.71
338,Angola,2018,Feb,2018-02-01,152.25,86.58
339,Angola,2018,Mar,2018-03-01,184.07,87.44
340,Angola,2018,Apr,2018-04-01,119.5,87.93
341,Angola,2018,May,2018-05-01,18.19,88.11
342,Angola,2018,Jun,2018-06-01,0.84,88.11
343,Angola,2018,Jul,2018-07-01,0.88,88.12
344,Angola,2018,Aug,2018-08-01,4.27,88.13
345,Angola,2018,Sep,2018-09-01,23.66,88.19
346,Angola,2018,Oct,2018-10-01,77.27,88.19
347,Angola,2018,Nov,2018-11-01,149.81,88.20
348,Angola,2018,Dec,2018-12-01,166.95,88.21
349,Angola,2019,Jan,2019-01-01,161.91,88.30
350,Angola,2019,Feb,2019-02-01,152.54,88.32
351,Angola,2019,Mar,2019-03-01,187.76,88.63
352,Angola,2019,Apr,2019-04-01,118.95,88.59
353,Angola,2019,May,2019-05-01,17.88,88.56
354,Angola,2019,Jun,2019-06-01,0.87,88.56
355,Angola,2019,Jul,2019-07-01,0.87,88.56
356,Angola,2019,Aug,2019-08-01,4.08,88.55
357,Angola,2019,Sep,2019-09-01,24.37,88.61
358,Angola,2019,Oct,2019-10-01,79.73,88.81
359,Angola,2019,Nov,2019-11-01,149.8,88.81
360,Angola,2019,Dec,2019-12-01,166.29,88.75
361,Angola,2020,Jan,2020-01-01,164.76,88.99
362,Angola,2020,Feb,2020-02-01,156.63,89.33
363,Angola,2020,Mar,2020-03-01,187,89.27
364,Angola,2020,Apr,2020-04-01,119.48,89.31
365,Angola,2020,May,2020-05-01,18.97,89.40
366,Angola,2020,Jun,2020-06-01,0.79,89.40
367,Angola,2020,Jul,2020-07-01,0.85,89.40
368,Angola,2020,Aug,2020-08-01,4.11,89.40
369,Angola,2020,Sep,2020-09-01,22.88,89.27
370,Angola,2020,Oct,2020-10-01,77.25,89.07
371,Angola,2020,Nov,2020-11-01,150.82,89.15
372,Angola,2020,Dec,2020-12-01,164.78,89.03
373,Angola,2021,Jan,2021-01-01,162.68,88.85
374,Angola,2021,Feb,2021-02-01,153.68,88.61
375,Angola,2021,Mar,2021-03-01,186.7,88.58
376,Angola,2021,Apr,2021-04-01,119.89,88.62
377,Angola,2021,May,2021-05-01,18.06,88.54
378,Angola,2021,Jun,2021-06-01,0.97,88.56
379,Angola,2021,Jul,2021-07-01,0.86,88.56
380,Angola,2021,Aug,2021-08-01,4.14,88.56
381,Angola,2021,Sep,2021-09-01,23.64,88.62
382,Angola,2021,Oct,2021-10-01,78.04,88.69
383,Angola,2021,Nov,2021-11-01,148.2,88.47
384,Angola,2021,Dec,2021-12-01,163.05,88.33
1,Botswana,1990,Jan,1990-01-01,72.84,
2,Botswana,1990,Feb,1990-02-01,52.13,
3,Botswana,1990,Mar,1990-03-01,51.01,
4,Botswana,1990,Apr,1990-04-01,37.24,
5,Botswana,1990,May,1990-05-01,1.1,
6,Botswana,1990,Jun,1990-06-01,0.2,
7,Botswana,1990,Jul,1990-07-01,0.03,
8,Botswana,1990,Aug,1990-08-01,0.2,
9,Botswana,1990,Sep,1990-09-01,0.58,
10,Botswana,1990,Oct,1990-10-01,8.3,
11,Botswana,1990,Nov,1990-11-01,18.12,
12,Botswana,1990,Dec,1990-12-01,50.71,24.37
13,Botswana,1991,Jan,1991-01-01,134.53,29.51
14,Botswana,1991,Feb,1991-02-01,96.23,33.19
15,Botswana,1991,Mar,1991-03-01,81.79,35.75
16,Botswana,1991,Apr,1991-04-01,1.84,32.80
17,Botswana,1991,May,1991-05-01,0.18,32.73
18,Botswana,1991,Jun,1991-06-01,0.84,32.78
19,Botswana,1991,Jul,1991-07-01,0.01,32.78
20,Botswana,1991,Aug,1991-08-01,0.01,32.76
21,Botswana,1991,Sep,1991-09-01,2.1,32.89
22,Botswana,1991,Oct,1991-10-01,18.7,33.76
23,Botswana,1991,Nov,1991-11-01,31.5,34.87
24,Botswana,1991,Dec,1991-12-01,89.43,38.10
25,Botswana,1992,Jan,1992-01-01,29.74,29.36
26,Botswana,1992,Feb,1992-02-01,20.96,23.09
27,Botswana,1992,Mar,1992-03-01,47.2,20.21
28,Botswana,1992,Apr,1992-04-01,10.16,20.90
29,Botswana,1992,May,1992-05-01,0.19,20.90
30,Botswana,1992,Jun,1992-06-01,0.12,20.84
31,Botswana,1992,Jul,1992-07-01,0.02,20.84
32,Botswana,1992,Aug,1992-08-01,0.09,20.85
33,Botswana,1992,Sep,1992-09-01,0.57,20.72
34,Botswana,1992,Oct,1992-10-01,19.22,20.77
35,Botswana,1992,Nov,1992-11-01,44.41,21.84
36,Botswana,1992,Dec,1992-12-01,56.64,19.11
37,Botswana,1993,Jan,1993-01-01,53.08,21.06
38,Botswana,1993,Feb,1993-02-01,75.42,25.59
39,Botswana,1993,Mar,1993-03-01,20,23.33
40,Botswana,1993,Apr,1993-04-01,20.29,24.17
41,Botswana,1993,May,1993-05-01,3.43,24.44
42,Botswana,1993,Jun,1993-06-01,0.49,24.47
43,Botswana,1993,Jul,1993-07-01,1.59,24.60
44,Botswana,1993,Aug,1993-08-01,0.24,24.62
45,Botswana,1993,Sep,1993-09-01,3.42,24.85
46,Botswana,1993,Oct,1993-10-01,28.02,25.59
47,Botswana,1993,Nov,1993-11-01,50.93,26.13
48,Botswana,1993,Dec,1993-12-01,55.03,26.00
49,Botswana,1994,Jan,1994-01-01,124.97,31.99
50,Botswana,1994,Feb,1994-02-01,72.24,31.72
51,Botswana,1994,Mar,1994-03-01,16.27,31.41
52,Botswana,1994,Apr,1994-04-01,5.25,30.16
53,Botswana,1994,May,1994-05-01,0.29,29.90
54,Botswana,1994,Jun,1994-06-01,0.29,29.88
55,Botswana,1994,Jul,1994-07-01,0.04,29.75
56,Botswana,1994,Aug,1994-08-01,0.07,29.74
57,Botswana,1994,Sep,1994-09-01,0.32,29.48
58,Botswana,1994,Oct,1994-10-01,5.99,27.64
59,Botswana,1994,Nov,1994-11-01,28.8,25.80
60,Botswana,1994,Dec,1994-12-01,40.47,24.58
61,Botswana,1995,Jan,1995-01-01,43.7,17.81
62,Botswana,1995,Feb,1995-02-01,50.78,16.02
63,Botswana,1995,Mar,1995-03-01,58.58,19.55
64,Botswana,1995,Apr,1995-04-01,10.34,19.97
65,Botswana,1995,May,1995-05-01,8.12,20.63
66,Botswana,1995,Jun,1995-06-01,0.04,20.60
67,Botswana,1995,Jul,1995-07-01,0.02,20.60
68,Botswana,1995,Aug,1995-08-01,0.14,20.61
69,Botswana,1995,Sep,1995-09-01,1.99,20.75
70,Botswana,1995,Oct,1995-10-01,21.98,22.08
71,Botswana,1995,Nov,1995-11-01,56.57,24.39
72,Botswana,1995,Dec,1995-12-01,83.25,27.96
73,Botswana,1996,Jan,1996-01-01,128.44,35.02
74,Botswana,1996,Feb,1996-02-01,109.6,39.92
75,Botswana,1996,Mar,1996-03-01,14.41,36.24
76,Botswana,1996,Apr,1996-04-01,12.82,36.45
77,Botswana,1996,May,1996-05-01,11.54,36.73
78,Botswana,1996,Jun,1996-06-01,0.18,36.75
79,Botswana,1996,Jul,1996-07-01,1.46,36.87
80,Botswana,1996,Aug,1996-08-01,0.12,36.86
81,Botswana,1996,Sep,1996-09-01,2.47,36.90
82,Botswana,1996,Oct,1996-10-01,7.38,35.69
83,Botswana,1996,Nov,1996-11-01,73.96,37.14
84,Botswana,1996,Dec,1996-12-01,66.41,35.73
85,Botswana,1997,Jan,1997-01-01,129.74,35.84
86,Botswana,1997,Feb,1997-02-01,43.22,30.31
87,Botswana,1997,Mar,1997-03-01,113.93,38.60
88,Botswana,1997,Apr,1997-04-01,14.46,38.74
89,Botswana,1997,May,1997-05-01,12.32,38.80
90,Botswana,1997,Jun,1997-06-01,0.6,38.84
91,Botswana,1997,Jul,1997-07-01,0.19,38.73
92,Botswana,1997,Aug,1997-08-01,0.18,38.74
93,Botswana,1997,Sep,1997-09-01,11.13,39.46
94,Botswana,1997,Oct,1997-10-01,25.12,40.94
95,Botswana,1997,Nov,1997-11-01,38.42,37.98
96,Botswana,1997,Dec,1997-12-01,56.36,37.14
97,Botswana,1998,Jan,1998-01-01,101.75,34.81
98,Botswana,1998,Feb,1998-02-01,60.17,36.22
99,Botswana,1998,Mar,1998-03-01,44.12,30.40
100,Botswana,1998,Apr,1998-04-01,13.5,30.32
101,Botswana,1998,May,1998-05-01,2.28,29.49
102,Botswana,1998,Jun,1998-06-01,0.65,29.49
103,Botswana,1998,Jul,1998-07-01,0.42,29.51
104,Botswana,1998,Aug,1998-08-01,0.47,29.53
105,Botswana,1998,Sep,1998-09-01,6.58,29.15
106,Botswana,1998,Oct,1998-10-01,19.37,28.67
107,Botswana,1998,Nov,1998-11-01,54.66,30.03
108,Botswana,1998,Dec,1998-12-01,78.92,31.91
109,Botswana,1999,Jan,1999-01-01,91.64,31.07
110,Botswana,1999,Feb,1999-02-01,64.45,31.42
111,Botswana,1999,Mar,1999-03-01,50.51,31.95
112,Botswana,1999,Apr,1999-04-01,17.59,32.30
113,Botswana,1999,May,1999-05-01,9.9,32.93
114,Botswana,1999,Jun,1999-06-01,1.2,32.98
115,Botswana,1999,Jul,1999-07-01,0.41,32.98
