report	publisher	blurb	period_covered	last_updated	key	tags	link	Algeria	Angola	Benin	Botswana	Burkina Faso	Burundi	Cameroon	Cape Verde	Central African Republic	Chad	Comoros	Congo	Cote d'Ivoire	Democratic Republic of Congo	Djibouti	Egypt	Equatorial Guinea	Eritrea	Eswatini	Ethiopia	Gabon	Gambia	Ghana	Guinea	Guinea-Bissau	Kenya	Lesotho	Liberia	Libya	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Rwanda	Saint Helena	Sao Tome and Principe	Senegal	Seychelles	Sierra Leone	Somalia	South Africa	South Sudan	Sudan	Tanzania	Togo	Tunisia	Uganda	Zambia	Zimbabwe
Climate Knowledge Portal, World Bank	World Bank	The World Bank's Climate Knowledge Portal is an interactive portal with an aggregation of data on national, sub-national, and watershed scales. It supplies information on national hazards and socio-economic conditions. It provides historical and projected climate data and sources it from the University of East Anglia's Climatic Research Unit.	2021	2023-07-18	CKP	rainfall	https://climateknowledgeportal.worldbank.org/download-data	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
UN Statistics Environment Stats	United Nations	Launched in 2005, the United Nations launched UNdata to provide free access to global statistics in partnership with Statistics Sweden and the Gapminder Foundation. The dataset uses country-produced data, projections and estimates. The UN's Environment Stats database has information from 1990 to 2015 on emissions, water treatment and energy consumption.	2015	2023-07-20	UNSES	emissions, water, waste	http://data.un.org/Explorer.aspx	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	no	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes
Copernicus – Climate	Copernicus	The European-based Copernicus Climate Change data uses satellite imagery to measure temperature and precipitation. It began to support the mitigation and adaptation policies of the European Union, which funds it, by providing 'consistent and authoritative information about climate change'. It works with CNN and Euronews. 	2023	2023-07-24	CC	temperature, precipitation	https://climate.copernicus.eu/climate-indicators/temperature	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Data One	National Center for Ecological Analysis and Synthesis	In 2009, the US-based University of New Mexico established Data One to help scientists understand the nature of change on Earth. It is a community-driven data repository focussing on environmental data. By 2019, the National Center for Ecological Analysis and Synthesis at UC Santa Barbara managed the programme.	2023	2023-07-26	DO	climate data	https://search.dataone.org/data	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Deutscher Wetterdienst 	Deutscher Wetterdienst 	Germany-based Deutscher Wetterdienst supplies climate prediction and monitoring data for Germany, Europe and the globe. It is funded by the German government. Its role is to supply the fields of transport, trade and industry, agriculture and forestry, the building industry, public health, and water management with meteorological and climatological services.	2023	2023-07-26	DW	rainfall, temperature	https://www.dwd.de/EN/climate_environment/climatemonitoring/climatemonitoring_node.html	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Digital Earth Africa	Esri (formerly published by Geoscience Australia)	Digital Earth Africa Map is made of data sourced from satellite imagery to visualise climate change, urbanisation and flood risk on the continent. The US-based Leona M. and Harry B. Helmsley Charitable Trust and the Australian Government funded the project in 2019. By 2022 Geoscience Australia handed the project to a South African company.	2023	2023-07-25	DEA	rainfall	https://maps.digitalearth.africa	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
East Africa Drought Watch	Intergovernmental Authority on Development Climate and Applications Centre 	The Intergovernmental Authority on Development Climate and Applications Centre manages the East Africa Drought Watch, which measures rainfall, groundwater levels and soil moisture. The dashboard is an adaptation of the European Drought Observatory. The European Commission, Sahara and Sahel Observatory, Adaptation Fund and Global Water partnered to make the dashboard possible.	2023	2023-07-27	EADW	drought, soil moisture	https://droughtwatch.icpac.net/	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	yes	no	no	yes	no	yes	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	yes	no	yes	yes	yes	no	no	yes	no	no
East Africa Hazards Watch	Intergovernmental Authority on Development Climate and Applications Centre 	East Africa Hazards Watch uses data from CHIRPS and WRF to visualise temperature, rainfall and to track extreme weather events. The African-based Intergovernmental Authority on Development manages the project. It began in 2023 to help protect populations in East Africa and increase their resilience, like tracking areas at risk of crop failures.	2023	2023-07-27	EAHW	temperature, rainfall, cyclones, droughts, flood, food security	https://eahazardswatch.icpac.net/	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	yes	no	no	yes	no	yes	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	yes	no	yes	yes	yes	no	no	yes	no	no
UN Environment Programme	United Nations	The United Nations Environment Programme, founded in 1972, supplies data on the state of the climate and progress on reducing greenhouse gas emissions to address environmental challenges and improve quality of life without compromising the earth for future generations. It sources data from Net Zero Tracker, Climate Watch and UN DESA.	2018	2023-07-20	UNEP	emissions	https://www.unep.org/explore-topics/climate-action/what-we-do/climate-action-note/state-of-climate.html?gclid=Cj0KCQjwhsmaBhCvARIsAIbEbH4LDFEGgnIoq_uryao2EO1IWlzVtyWsRImbhxC4ZeD-_VeFLxWo96QaAuRzEALw_wcB	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes
Climate Watch – historical emissions	World Resources Unit	World Resources Unit manages the Climate Watch project. It came about to allow researchers, policymakers and the media to review the global progress on climate change and the nationally determined contributions under the Paris Agreement. Google and several government agencies fund the project with data contributions from several universities and institutes.	2020	2023-07-18	CW	emissions	https://www.climatewatchdata.org/data-explorer/historical-emissions?historical-emissions-data-sources=climate-watch&historical-emissions-gases=all-ghg&historical-emissions-regions=All%20Selected&historical-emissions-sectors=total-including-lucf%2Ctotal-including-lucf&page=1	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	no	no	yes	yes	yes	yes	no	yes	yes	no	yes	yes
Energy Institute's Statistical Review of World Energy	Energy Institute	The Energy Institute is an independent, professional body for energy. Data is collected by Centre for Energy Economics Research and Policy at Heriot-Watt University. The project is supported by BP and funded by KPMG and Kearney. It aims to supply timely and objective global energy production, consumption and emission data.	2022	2023-07-18	WE	oil, gas, coal, nuclear, renewables, hydroelectricity, mining	https://www.energyinst.org/statistical-review/resources-and-data-downloads	yes	yes	no	no	no	no	no	no	no	yes	no	yes	no	no	no	yes	yes	no	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	yes	no	no	no	no	no	no	no	yes	yes	yes	no	no	yes	no	no	yes
Flood exposure and poverty in 188 countries	Nature Communications	A 2022 Nature Communications report on 'Flood exposure and poverty in 188 countries' details what proportion of a population is at risk of flooding in each country. The researchers came from the World Bank, Payne Institute, University College London, Deltares and Delft University. Flood hazard data was sourced from Fathom Global.	2022	2023-07-19	FE	population, disasters	https://docs.google.com/spreadsheets/d/1oRNDQvxT_4dbY_tDG7gc0vDb2X_UoN9UC8IEAmlVZUA/edit#gid=2091386137	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Food and Agriculture Association	United Nations	Nasa supplies the surface temperature data from 1961 for the United Nations Food and Agriculture Association statistics. The data covers 245 countries. Its goal is to provide policymakers with the information to 'make sure that people have regular access to enough high-quality food to lead active, healthy lives,	2022	2023-07-18	FAA	temperature	https://www.fao.org/faostat/en/#data/ET	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Edgar - Emissions Data for Global Atmospheric Research	European Commission	The European Commission supplies an Emissions Database for Global Atmospheric Research focusing on emissions from the energy, building, and transport industries, greenhouse gases and air pollutants. The database compares emission estimates of 220 countries. Researchers and the United Nations use the data which dates back to 1970.	2021	2023-07-18	EDGAR	emissions	https://edgar.jrc.ec.europa.eu/emissions_data_and_maps	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Global Carbon Atlas	Global Carbon Project	Global Carbon Project maintains the Global Carbon Atlas. The project started in 2001. Future Earth and the World Climate Research Programme established it to provide mutually agreed upon knowledge which would help policymakers 'slow down and ultimately stop the increase of greenhouse gases in the atmosphere'. The Atlas supplies emissions data.	2021	2023-07-19	GCA	emissions, land use	https://globalcarbonatlas.org/	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Our World in Data	Our World in Data	UK-based donor-funded Our World in Data is an aggregator of datasets from across the globe. Its emissions data is sourced from a Statistical review of world energy, the Global carbon budget and the International Energy Agency. Publishers have used the data extensively from the New York Times to The Guardian.	2021	2023-07-19	OWID	emissions, temperature	https://github.com/owid/co2-data	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Global Forest Watch	Global Forest Watch	Global Forest Watch, launched in 2014, monitors forests across the globe, from deforestation to fires. An early version of the project was piloted in 1997, reporting on Cameroon, Canada, Gabon and Indonesia. Many foundations including, the Bezos Earth Fund, UK AID, and Agence Française Développement, have partnered with the project.	2022	2023-07-19	GFW	forest cover	https://www.globalforestwatch.org/	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Global Precipitation Measurement	NASA and JAXA	Nasa and Japan's Aerospace Exploration established Global Precipitation Measurement in 2014. It is an international network of satellites observing rain and snow. It aims to advance scientists understanding of the planet's water cycles and standardised precipitation measurements. NOAA, European, Indian and French research and meteorological agencies support the project.	2023	2023-07-26	GPM	rainfall	https://gpm.nasa.gov/missions/GPM	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
EMEP	Norwegian Meteorological Institute	The European-based EMEP programme, formed in 1979, measures air pollution (including Nitrogen Oxides, Sulphur Dioxides and particulate matter) and overall emissions from counties. The  Norwegian Meteorological Institute hosts the programme. Scientists use the data for technical reports. The data is focused on European countries, the United States and North Africa.	2022	2023-07-25	EMEP	emissions	https://www.emep.int/mscw/index.html	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Institute for Environmental Analytics	Institute for Environmental Analytics	UK-based commercial Research and Development Organisation Institute for Environmental Analytics supplies weather and climate modelling for businesses and governments. It began in 2015 and focuses on renewable energy and modelling energy production for future renewable construction sites. It has collaborated with South African engineering countries rolling out solar power.	2023	2023-07-19	INEA	temperature, land use	https://www.the-iea.org/	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	yes	no	no	no	no	no	no	no	no
Global Carbon Project	Global Carbon Project	The Global Carbon Project researchers publish data on the Global Carbon Budget annually. The Budget monitors the amount of human-induced carbon emissions into the atmosphere against the storage of carbon in land and ocean reservoirs. The Budget uses data from the Integrated Carbon Observation System. The project began in 2001.	2022	2023-07-19	GCP	emissions, land use	https://www.icos-cp.eu/science-and-impact/global-carbon-budget		yes	yes	yes	yes	no	yes	no	no	no	no	no	yes	no	no	yes	no	no	no	yes	no	no	yes	yes	no	yes	yes	no	no	yes	yes	no	no	yes	yes	yes	yes	no	yes	no	no	no	yes	no	no	no	yes	no	no	yes	yes	yes	yes	yes	yes
IMF Climate Change Data	International Monetary Fund	The International Monetary Fund dashboard on climate change, launched in 2021, aims to help understand the links between economic and government policies and climate change, focusses on carbon emissions from different industries. The Food and Agriculture Organization and NASA databases supply the data, which is funded by IMF member states.	2022	2023-07-19	IMF	emissions, forest cover, disasters, sea level, temperature	https://climatedata.imf.org/pages/climatechange-data	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
IPCC WGI Interactive Atlas: Regional information (Advanced)	Intergovernmental Panel on Climate Change	The Intergovernmental Panel on Climate Change released an interactive dashboard showcasing the data it used for its Sixth Assessment Report report designed for the media, teachers and decision-makers. The rainfall, snowfall, wind speed, and surface and ocean temperature data reflect observations and climate models. The Spanish government funded the dashboard.	2015	2023-07-20	IPCC	temperature, rainfall	https://interactive-atlas.ipcc.ch/regional-information#eyJ0eXBlIjoiQVRMQVMiLCJjb21tb25zIjp7ImxhdCI6MjcwOTQzMCwibG5nIjotNDY0MTMwOCwiem9vbSI6MywicHJvaiI6IkVQU0c6NTQwMzAiLCJtb2RlIjoiY29tcGxldGVfYXRsYXMifSwicHJpbWFyeSI6eyJzY2VuYXJpbyI6Imhpc3RvcmljYWwiLCJwZXJpb2QiOiJBUjYiLCJzZWFzb24iOiJ5ZWFyIiwiZGF0YXNldCI6IkhBRlItMjIiLCJ2YXJpYWJsZSI6InNmY1dpbmQiLCJ2YWx1ZVR5cGUiOiJWQUxVRSIsImhhdGNoaW5nIjoiU0lNUExFIiwicmVnaW9uU2V0IjoiYXI2IiwiYmFzZWxpbmUiOiJBUjUiLCJyZWdpb25zU2VsZWN0ZWQiOlsxOSwyMCwyMSwyMiwyMywyNCwyNSwyNiwyN119LCJwbG90Ijp7ImFjdGl2ZVRhYiI6InNlYXNvbmFsLXN0cmlwZXMiLCJzaG93aW5nIjp0cnVlLCJtYXNrIjoibGFuZE1hc2siLCJzY2F0dGVyWU1hZyI6IlZBTFVFIiwic2NhdHRlcllWYXIiOiJ0YXMifX0=	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
IRI/LDEO Climate Data Library	Columbia Climate School	The US-based IRI Data Library is a freely accessible data repository run by Columbia Climate School and established to anticipate and manage the impacts of climate to improve human welfare. The data covers large regions and is not country-specific. However, data for the continent of Africa is available. 	2020	2023-07-26	IRI	temperature, rainfall, drought	http://iridl.ldeo.columbia.edu/docfind/facetedbrowser.html?taxa=iridl%3AMaproom_Search&itemClass=iridl%3Amap_room	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Global Electricity Review	Ember	Independent European non-profit think tank Ember releases an annual report on the state of energy, focussing on the shift to renewables to cut down carbon emissions. It began in 2008 to reform the EU carbon market and rebranded in 2020. The WWF and the European Climate Foundation are its funders.	2023	2023-07-21	EMBER	emissions, energy, gas, hydroelectricity, nuclear, oil, renewables	https://ember-climate.org/countries-and-regions/regions/africa/	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes
Misbar	Sahara and Sahel Observatory	Tunis-based L'Observatoire du Sahara et du Sahel has a dashboard tracking the temperature, land coverage and rainfall for North Africa. The Green Climate Fund and Adaptation Fund financed the project, which began in 1992. The project aims to manage shared water resources sustainably during a time of climate change.	2023	2023-07-27	MISBAR	temperature, rainfall	http://misbar.oss-online.org/	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	yes	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no
Misland	Sahara and Sahel Observatory	The Monitoring Integrated System for Land Degradation Monitoring, MISLAND, is a collaborative effort with the Global Monitoring for Environment and Security funded by the African Union and European Commission. The project uses earth observation to realise 'land degradation neutrality'. It measures desertification, coastal erosion and forest loss.	2021	2023-07-27	MIS	desertification, coastal erosion	http://misland.oss-online.org/#/dashboard	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	yes	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no
Nasa Earth Data	NASA	NASA's earth science data system is free, open-source data. The United States government funds the programme. NASA collects data from satellite imagery, space missions, observatories and laboratories. Thousands of scientists and coders analyse the climate data, which covers ice cover, ocean and atmospheric change, and carbon emissions to global temperatures.	2023	2023-07-19	NASA-EARTH	air quality, temperature	https://disc.gsfc.nasa.gov/datasets	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
