id,country,year,month,mm
102,Angola,1998,Jun,0.64
103,Angola,1998,Jul,0.65
104,Angola,1998,Aug,3.77
105,Angola,1998,Sep,25.75
106,Angola,1998,Oct,73.98
107,Angola,1998,Nov,147.49
108,Angola,1998,Dec,173.19
109,Angola,1999,Jan,163.65
110,Angola,1999,Feb,141
111,Angola,1999,Mar,186.03
112,Angola,1999,Apr,111.41
113,Angola,1999,May,18.82
114,Angola,1999,Jun,0.79
115,Angola,1999,Jul,1.14
116,Angola,1999,Aug,5.13
117,Angola,1999,Sep,23.34
118,Angola,1999,Oct,73.22
119,Angola,1999,Nov,152.81
120,Angola,1999,Dec,185.04
121,Angola,2000,Jan,163.41
122,Angola,2000,Feb,153.71
123,Angola,2000,Mar,188.38
124,Angola,2000,Apr,113.04
125,Angola,2000,May,22.89
126,Angola,2000,Jun,0.94
127,Angola,2000,Jul,0.56
128,Angola,2000,Aug,3.83
129,Angola,2000,Sep,23.24
130,Angola,2000,Oct,70.48
131,Angola,2000,Nov,143.16
132,Angola,2000,Dec,171.29
133,Angola,2001,Jan,163.88
134,Angola,2001,Feb,161.85
135,Angola,2001,Mar,185.02
136,Angola,2001,Apr,122.41
137,Angola,2001,May,17.48
138,Angola,2001,Jun,1.21
139,Angola,2001,Jul,0.7
140,Angola,2001,Aug,3.31
141,Angola,2001,Sep,20.47
142,Angola,2001,Oct,71.01
143,Angola,2001,Nov,147.06
144,Angola,2001,Dec,150.8
145,Angola,2002,Jan,165.33
146,Angola,2002,Feb,155.1
147,Angola,2002,Mar,175.2
148,Angola,2002,Apr,121.57
149,Angola,2002,May,17.3
150,Angola,2002,Jun,0.88
151,Angola,2002,Jul,0.83
152,Angola,2002,Aug,6.21
153,Angola,2002,Sep,27.49
154,Angola,2002,Oct,89.34
155,Angola,2002,Nov,150.62
156,Angola,2002,Dec,168.89
157,Angola,2003,Jan,153.78
158,Angola,2003,Feb,149.46
159,Angola,2003,Mar,173.75
160,Angola,2003,Apr,114.09
161,Angola,2003,May,14.36
162,Angola,2003,Jun,1.02
163,Angola,2003,Jul,0.68
164,Angola,2003,Aug,3.59
165,Angola,2003,Sep,19.93
166,Angola,2003,Oct,84.21
167,Angola,2003,Nov,147.03
168,Angola,2003,Dec,162.09
169,Angola,2004,Jan,171.32
170,Angola,2004,Feb,148.47
171,Angola,2004,Mar,198.93
172,Angola,2004,Apr,117.61
173,Angola,2004,May,11.11
174,Angola,2004,Jun,0.68
175,Angola,2004,Jul,0.77
176,Angola,2004,Aug,4.58
177,Angola,2004,Sep,21
178,Angola,2004,Oct,75.98
179,Angola,2004,Nov,150.56
180,Angola,2004,Dec,160.38
181,Angola,2005,Jan,153.39
182,Angola,2005,Feb,141.96
183,Angola,2005,Mar,179.16
184,Angola,2005,Apr,114.46
185,Angola,2005,May,13.18
186,Angola,2005,Jun,0.62
187,Angola,2005,Jul,0.97
188,Angola,2005,Aug,3.73
189,Angola,2005,Sep,22.08
190,Angola,2005,Oct,73.72
191,Angola,2005,Nov,146.25
192,Angola,2005,Dec,163.96
193,Angola,2006,Jan,161.07
194,Angola,2006,Feb,161.48
195,Angola,2006,Mar,190.26
196,Angola,2006,Apr,113.39
197,Angola,2006,May,15.69
198,Angola,2006,Jun,0.66
199,Angola,2006,Jul,0.93
200,Angola,2006,Aug,5.67
201,Angola,2006,Sep,22.29
202,Angola,2006,Oct,82.98
203,Angola,2006,Nov,164.12
204,Angola,2006,Dec,166.42
205,Angola,2007,Jan,161.21
206,Angola,2007,Feb,145.55
207,Angola,2007,Mar,185.86
208,Angola,2007,Apr,111.39
209,Angola,2007,May,20.11
210,Angola,2007,Jun,1.4
211,Angola,2007,Jul,0.66
212,Angola,2007,Aug,4.75
213,Angola,2007,Sep,21.16
214,Angola,2007,Oct,79.14
215,Angola,2007,Nov,152.11
216,Angola,2007,Dec,163.97
217,Angola,2008,Jan,161.3
218,Angola,2008,Feb,153.89
219,Angola,2008,Mar,188.58
220,Angola,2008,Apr,115.99
221,Angola,2008,May,19.87
222,Angola,2008,Jun,0.74
223,Angola,2008,Jul,0.71
224,Angola,2008,Aug,3.79
225,Angola,2008,Sep,22.36
226,Angola,2008,Oct,81.24
227,Angola,2008,Nov,146.69
228,Angola,2008,Dec,167.68
229,Angola,2009,Jan,162.36
230,Angola,2009,Feb,161.8
231,Angola,2009,Mar,187.08
232,Angola,2009,Apr,126.07
233,Angola,2009,May,20.12
234,Angola,2009,Jun,1.23
235,Angola,2009,Jul,0.92
236,Angola,2009,Aug,4.08
237,Angola,2009,Sep,20.86
238,Angola,2009,Oct,78.77
239,Angola,2009,Nov,140.6
240,Angola,2009,Dec,162.59
241,Angola,2010,Jan,155.29
242,Angola,2010,Feb,144.56
243,Angola,2010,Mar,193.18
244,Angola,2010,Apr,115.78
245,Angola,2010,May,15.53
246,Angola,2010,Jun,0.89
247,Angola,2010,Jul,0.9
248,Angola,2010,Aug,3.48
249,Angola,2010,Sep,19.82
250,Angola,2010,Oct,68.19
251,Angola,2010,Nov,167.47
252,Angola,2010,Dec,156.49
253,Angola,2011,Jan,159.95
254,Angola,2011,Feb,148.49
255,Angola,2011,Mar,185.49
256,Angola,2011,Apr,114.2
257,Angola,2011,May,13.1
258,Angola,2011,Jun,0.73
259,Angola,2011,Jul,0.81
260,Angola,2011,Aug,4.05
261,Angola,2011,Sep,23.28
262,Angola,2011,Oct,68.74
263,Angola,2011,Nov,160.81
264,Angola,2011,Dec,177.21
265,Angola,2012,Jan,168.2
266,Angola,2012,Feb,162.24
267,Angola,2012,Mar,185.94
268,Angola,2012,Apr,116.87
269,Angola,2012,May,18.24
270,Angola,2012,Jun,0.77
271,Angola,2012,Jul,0.85
272,Angola,2012,Aug,3.97
273,Angola,2012,Sep,23.27
274,Angola,2012,Oct,75.34
275,Angola,2012,Nov,154.05
276,Angola,2012,Dec,162.14
277,Angola,2013,Jan,156.49
278,Angola,2013,Feb,152.79
279,Angola,2013,Mar,173.15
280,Angola,2013,Apr,123.29
281,Angola,2013,May,14.27
282,Angola,2013,Jun,1.12
283,Angola,2013,Jul,0.72
284,Angola,2013,Aug,4.36
285,Angola,2013,Sep,20.82
286,Angola,2013,Oct,72.07
287,Angola,2013,Nov,139.28
288,Angola,2013,Dec,178.08
289,Angola,2014,Jan,161.78
290,Angola,2014,Feb,145.57
291,Angola,2014,Mar,195.57
292,Angola,2014,Apr,125.35
293,Angola,2014,May,14.72
294,Angola,2014,Jun,0.78
295,Angola,2014,Jul,0.75
296,Angola,2014,Aug,3.8
297,Angola,2014,Sep,20.96
298,Angola,2014,Oct,73.9
299,Angola,2014,Nov,153.75
300,Angola,2014,Dec,164.57
301,Angola,2015,Jan,146.89
302,Angola,2015,Feb,140.6
303,Angola,2015,Mar,190.82
304,Angola,2015,Apr,93.02
305,Angola,2015,May,18.88
306,Angola,2015,Jun,0.75
307,Angola,2015,Jul,0.91
308,Angola,2015,Aug,3.71
309,Angola,2015,Sep,23.08
310,Angola,2015,Oct,64.89
311,Angola,2015,Nov,133.06
312,Angola,2015,Dec,189.56
313,Angola,2016,Jan,142
314,Angola,2016,Feb,143.41
315,Angola,2016,Mar,171.69
316,Angola,2016,Apr,102.74
317,Angola,2016,May,13.73
318,Angola,2016,Jun,0.96
319,Angola,2016,Jul,0.71
320,Angola,2016,Aug,3.9
321,Angola,2016,Sep,23.16
322,Angola,2016,Oct,98.23
323,Angola,2016,Nov,152.59
324,Angola,2016,Dec,177.48
325,Angola,2017,Jan,177.39
326,Angola,2017,Feb,153.78
327,Angola,2017,Mar,173.82
328,Angola,2017,Apr,113.57
329,Angola,2017,May,16.02
330,Angola,2017,Jun,0.93
331,Angola,2017,Jul,0.72
332,Angola,2017,Aug,4.13
333,Angola,2017,Sep,22.91
334,Angola,2017,Oct,77.35
335,Angola,2017,Nov,149.59
336,Angola,2017,Dec,166.87
337,Angola,2018,Jan,160.84
338,Angola,2018,Feb,152.25
339,Angola,2018,Mar,184.07
340,Angola,2018,Apr,119.5
341,Angola,2018,May,18.19
342,Angola,2018,Jun,0.84
343,Angola,2018,Jul,0.88
344,Angola,2018,Aug,4.27
345,Angola,2018,Sep,23.66
346,Angola,2018,Oct,77.27
347,Angola,2018,Nov,149.81
348,Angola,2018,Dec,166.95
349,Angola,2019,Jan,161.91
350,Angola,2019,Feb,152.54
351,Angola,2019,Mar,187.76
352,Angola,2019,Apr,118.95
353,Angola,2019,May,17.88
354,Angola,2019,Jun,0.87
355,Angola,2019,Jul,0.87
356,Angola,2019,Aug,4.08
357,Angola,2019,Sep,24.37
358,Angola,2019,Oct,79.73
359,Angola,2019,Nov,149.8
360,Angola,2019,Dec,166.29
361,Angola,2020,Jan,164.76
362,Angola,2020,Feb,156.63
363,Angola,2020,Mar,187
364,Angola,2020,Apr,119.48
365,Angola,2020,May,18.97
366,Angola,2020,Jun,0.79
367,Angola,2020,Jul,0.85
368,Angola,2020,Aug,4.11
369,Angola,2020,Sep,22.88
370,Angola,2020,Oct,77.25
371,Angola,2020,Nov,150.82
372,Angola,2020,Dec,164.78
373,Angola,2021,Jan,162.68
374,Angola,2021,Feb,153.68
375,Angola,2021,Mar,186.7
376,Angola,2021,Apr,119.89
377,Angola,2021,May,18.06
378,Angola,2021,Jun,0.97
379,Angola,2021,Jul,0.86
380,Angola,2021,Aug,4.14
381,Angola,2021,Sep,23.64
382,Angola,2021,Oct,78.04
383,Angola,2021,Nov,148.2
384,Angola,2021,Dec,163.05
1,Botswana,1990,Jan,72.84
2,Botswana,1990,Feb,52.13
3,Botswana,1990,Mar,51.01
4,Botswana,1990,Apr,37.24
5,Botswana,1990,May,1.1
6,Botswana,1990,Jun,0.2
7,Botswana,1990,Jul,0.03
8,Botswana,1990,Aug,0.2
9,Botswana,1990,Sep,0.58
10,Botswana,1990,Oct,8.3
11,Botswana,1990,Nov,18.12
12,Botswana,1990,Dec,50.71
13,Botswana,1991,Jan,134.53
14,Botswana,1991,Feb,96.23
15,Botswana,1991,Mar,81.79
16,Botswana,1991,Apr,1.84
17,Botswana,1991,May,0.18
18,Botswana,1991,Jun,0.84
19,Botswana,1991,Jul,0.01
20,Botswana,1991,Aug,0.01
21,Botswana,1991,Sep,2.1
22,Botswana,1991,Oct,18.7
23,Botswana,1991,Nov,31.5
24,Botswana,1991,Dec,89.43
25,Botswana,1992,Jan,29.74
26,Botswana,1992,Feb,20.96
27,Botswana,1992,Mar,47.2
28,Botswana,1992,Apr,10.16
29,Botswana,1992,May,0.19
30,Botswana,1992,Jun,0.12
31,Botswana,1992,Jul,0.02
32,Botswana,1992,Aug,0.09
33,Botswana,1992,Sep,0.57
34,Botswana,1992,Oct,19.22
35,Botswana,1992,Nov,44.41
36,Botswana,1992,Dec,56.64
37,Botswana,1993,Jan,53.08
38,Botswana,1993,Feb,75.42
39,Botswana,1993,Mar,20
40,Botswana,1993,Apr,20.29
41,Botswana,1993,May,3.43
42,Botswana,1993,Jun,0.49
43,Botswana,1993,Jul,1.59
44,Botswana,1993,Aug,0.24
45,Botswana,1993,Sep,3.42
46,Botswana,1993,Oct,28.02
47,Botswana,1993,Nov,50.93
48,Botswana,1993,Dec,55.03
49,Botswana,1994,Jan,124.97
50,Botswana,1994,Feb,72.24
51,Botswana,1994,Mar,16.27
52,Botswana,1994,Apr,5.25
53,Botswana,1994,May,0.29
54,Botswana,1994,Jun,0.29
55,Botswana,1994,Jul,0.04
56,Botswana,1994,Aug,0.07
57,Botswana,1994,Sep,0.32
58,Botswana,1994,Oct,5.99
59,Botswana,1994,Nov,28.8
60,Botswana,1994,Dec,40.47
61,Botswana,1995,Jan,43.7
62,Botswana,1995,Feb,50.78
63,Botswana,1995,Mar,58.58
64,Botswana,1995,Apr,10.34
65,Botswana,1995,May,8.12
66,Botswana,1995,Jun,0.04
67,Botswana,1995,Jul,0.02
68,Botswana,1995,Aug,0.14
69,Botswana,1995,Sep,1.99
70,Botswana,1995,Oct,21.98
71,Botswana,1995,Nov,56.57
72,Botswana,1995,Dec,83.25
73,Botswana,1996,Jan,128.44
74,Botswana,1996,Feb,109.6
75,Botswana,1996,Mar,14.41
76,Botswana,1996,Apr,12.82
77,Botswana,1996,May,11.54
78,Botswana,1996,Jun,0.18
79,Botswana,1996,Jul,1.46
80,Botswana,1996,Aug,0.12
81,Botswana,1996,Sep,2.47
82,Botswana,1996,Oct,7.38
83,Botswana,1996,Nov,73.96
84,Botswana,1996,Dec,66.41
85,Botswana,1997,Jan,129.74
86,Botswana,1997,Feb,43.22
87,Botswana,1997,Mar,113.93
88,Botswana,1997,Apr,14.46
89,Botswana,1997,May,12.32
90,Botswana,1997,Jun,0.6
91,Botswana,1997,Jul,0.19
92,Botswana,1997,Aug,0.18
93,Botswana,1997,Sep,11.13
94,Botswana,1997,Oct,25.12
95,Botswana,1997,Nov,38.42
96,Botswana,1997,Dec,56.36
97,Botswana,1998,Jan,101.75
98,Botswana,1998,Feb,60.17
99,Botswana,1998,Mar,44.12
100,Botswana,1998,Apr,13.5
101,Botswana,1998,May,2.28
102,Botswana,1998,Jun,0.65
103,Botswana,1998,Jul,0.42
104,Botswana,1998,Aug,0.47
105,Botswana,1998,Sep,6.58
106,Botswana,1998,Oct,19.37
107,Botswana,1998,Nov,54.66
108,Botswana,1998,Dec,78.92
109,Botswana,1999,Jan,91.64
110,Botswana,1999,Feb,64.45
111,Botswana,1999,Mar,50.51
112,Botswana,1999,Apr,17.59
113,Botswana,1999,May,9.9
114,Botswana,1999,Jun,1.2
115,Botswana,1999,Jul,0.41
116,Botswana,1999,Aug,0.35
117,Botswana,1999,Sep,2.94
118,Botswana,1999,Oct,17.07
119,Botswana,1999,Nov,42.79
120,Botswana,1999,Dec,69.06
121,Botswana,2000,Jan,113.2
122,Botswana,2000,Feb,106.84
123,Botswana,2000,Mar,73.36
124,Botswana,2000,Apr,30.07
125,Botswana,2000,May,8.19
126,Botswana,2000,Jun,1.89
127,Botswana,2000,Jul,0.77
128,Botswana,2000,Aug,0.54
129,Botswana,2000,Sep,4.17
130,Botswana,2000,Oct,16.8
131,Botswana,2000,Nov,50.57
132,Botswana,2000,Dec,57.34
133,Botswana,2001,Jan,67.52
134,Botswana,2001,Feb,99.28
135,Botswana,2001,Mar,60.78
136,Botswana,2001,Apr,34.91
137,Botswana,2001,May,8.74
138,Botswana,2001,Jun,1.46
139,Botswana,2001,Jul,0.61
140,Botswana,2001,Aug,1.08
141,Botswana,2001,Sep,8.85
142,Botswana,2001,Oct,21.76
143,Botswana,2001,Nov,55.79
144,Botswana,2001,Dec,65.98
145,Botswana,2002,Jan,76.41
146,Botswana,2002,Feb,63.18
147,Botswana,2002,Mar,41.14
148,Botswana,2002,Apr,33.12
149,Botswana,2002,May,10.92
150,Botswana,2002,Jun,2.34
151,Botswana,2002,Jul,0.38
152,Botswana,2002,Aug,2.05
153,Botswana,2002,Sep,5.93
154,Botswana,2002,Oct,21.25
155,Botswana,2002,Nov,37.12
156,Botswana,2002,Dec,66.41
157,Botswana,2003,Jan,76.74
158,Botswana,2003,Feb,74
159,Botswana,2003,Mar,52.06
160,Botswana,2003,Apr,21.82
161,Botswana,2003,May,3.74
162,Botswana,2003,Jun,2.11
163,Botswana,2003,Jul,0.31
164,Botswana,2003,Aug,0.62
165,Botswana,2003,Sep,4.04
166,Botswana,2003,Oct,28.9
167,Botswana,2003,Nov,42.92
168,Botswana,2003,Dec,51.66
169,Botswana,2004,Jan,98.46
170,Botswana,2004,Feb,85.52
171,Botswana,2004,Mar,73.81
172,Botswana,2004,Apr,29.97
173,Botswana,2004,May,4.03
174,Botswana,2004,Jun,0.99
175,Botswana,2004,Jul,0.36
176,Botswana,2004,Aug,0.46
177,Botswana,2004,Sep,5.35
178,Botswana,2004,Oct,19.15
179,Botswana,2004,Nov,37.55
180,Botswana,2004,Dec,67.4
181,Botswana,2005,Jan,87.74
182,Botswana,2005,Feb,66.42
183,Botswana,2005,Mar,54.93
184,Botswana,2005,Apr,29.13
185,Botswana,2005,May,5.84
186,Botswana,2005,Jun,1
187,Botswana,2005,Jul,0.31
188,Botswana,2005,Aug,0.41
189,Botswana,2005,Sep,2.86
190,Botswana,2005,Oct,13.07
191,Botswana,2005,Nov,46.86
192,Botswana,2005,Dec,68.73
193,Botswana,2006,Jan,103.34
194,Botswana,2006,Feb,92.54
195,Botswana,2006,Mar,59.67
196,Botswana,2006,Apr,40.27
197,Botswana,2006,May,5.25
198,Botswana,2006,Jun,1.34
199,Botswana,2006,Jul,0.38
200,Botswana,2006,Aug,1.77
201,Botswana,2006,Sep,3
202,Botswana,2006,Oct,14.83
203,Botswana,2006,Nov,46.94
204,Botswana,2006,Dec,57.91
205,Botswana,2007,Jan,72.91
206,Botswana,2007,Feb,58.44
207,Botswana,2007,Mar,46.99
208,Botswana,2007,Apr,28.86
209,Botswana,2007,May,3.55
210,Botswana,2007,Jun,2.87
211,Botswana,2007,Jul,0.33
212,Botswana,2007,Aug,0.44
213,Botswana,2007,Sep,9.06
214,Botswana,2007,Oct,23.2
215,Botswana,2007,Nov,46.31
216,Botswana,2007,Dec,68.58
217,Botswana,2008,Jan,116.09
218,Botswana,2008,Feb,59.96
219,Botswana,2008,Mar,61.56
220,Botswana,2008,Apr,27.16
221,Botswana,2008,May,6.11
222,Botswana,2008,Jun,1.54
223,Botswana,2008,Jul,0.33
224,Botswana,2008,Aug,0.62
225,Botswana,2008,Sep,2.7
226,Botswana,2008,Oct,15.85
227,Botswana,2008,Nov,51.46
228,Botswana,2008,Dec,63.8
229,Botswana,2009,Jan,91.48
230,Botswana,2009,Feb,76.08
231,Botswana,2009,Mar,56.64
232,Botswana,2009,Apr,20.3
233,Botswana,2009,May,8.47
234,Botswana,2009,Jun,3.32
235,Botswana,2009,Jul,0.83
236,Botswana,2009,Aug,0.52
237,Botswana,2009,Sep,5.53
238,Botswana,2009,Oct,26.68
239,Botswana,2009,Nov,46.87
240,Botswana,2009,Dec,69.2
241,Botswana,2010,Jan,127.9
242,Botswana,2010,Feb,100.21
243,Botswana,2010,Mar,60.79
244,Botswana,2010,Apr,37.75
245,Botswana,2010,May,10.23
246,Botswana,2010,Jun,0.76
247,Botswana,2010,Jul,0.4
248,Botswana,2010,Aug,0.44
249,Botswana,2010,Sep,1.93
250,Botswana,2010,Oct,14.9
251,Botswana,2010,Nov,50.11
252,Botswana,2010,Dec,69.07
253,Botswana,2011,Jan,121.62
254,Botswana,2011,Feb,60.68
255,Botswana,2011,Mar,98.18
256,Botswana,2011,Apr,42.53
257,Botswana,2011,May,7.08
258,Botswana,2011,Jun,3.25
259,Botswana,2011,Jul,0.5
260,Botswana,2011,Aug,0.93
261,Botswana,2011,Sep,3.09
262,Botswana,2011,Oct,22.59
263,Botswana,2011,Nov,43.94
264,Botswana,2011,Dec,69.02
265,Botswana,2012,Jan,73.63
266,Botswana,2012,Feb,77.85
267,Botswana,2012,Mar,55.55
268,Botswana,2012,Apr,26.72
269,Botswana,2012,May,3.82
270,Botswana,2012,Jun,2.14
271,Botswana,2012,Jul,0.49
272,Botswana,2012,Aug,0.46
273,Botswana,2012,Sep,4.66
274,Botswana,2012,Oct,19.8
275,Botswana,2012,Nov,38.62
276,Botswana,2012,Dec,65.08
277,Botswana,2013,Jan,92.11
278,Botswana,2013,Feb,70.04
279,Botswana,2013,Mar,49.99
280,Botswana,2013,Apr,28.95
281,Botswana,2013,May,4.03
282,Botswana,2013,Jun,0.99
283,Botswana,2013,Jul,0.48
284,Botswana,2013,Aug,0.48
285,Botswana,2013,Sep,3.26
286,Botswana,2013,Oct,17.27
287,Botswana,2013,Nov,44.44
288,Botswana,2013,Dec,81.55
289,Botswana,2014,Jan,101.75
290,Botswana,2014,Feb,78.06
291,Botswana,2014,Mar,32.15
292,Botswana,2014,Apr,28.57
293,Botswana,2014,May,4.45
294,Botswana,2014,Jun,1.05
295,Botswana,2014,Jul,0.3
296,Botswana,2014,Aug,1.64
297,Botswana,2014,Sep,3.07
298,Botswana,2014,Oct,15.95
299,Botswana,2014,Nov,40.35
300,Botswana,2014,Dec,72.62
301,Botswana,2015,Jan,73.04
302,Botswana,2015,Feb,67.59
303,Botswana,2015,Mar,59.12
304,Botswana,2015,Apr,31.1
305,Botswana,2015,May,3.82
306,Botswana,2015,Jun,2.27
307,Botswana,2015,Jul,0.83
308,Botswana,2015,Aug,0.66
309,Botswana,2015,Sep,8.85
310,Botswana,2015,Oct,14.85
311,Botswana,2015,Nov,38.35
312,Botswana,2015,Dec,51.32
313,Botswana,2016,Jan,77.79
314,Botswana,2016,Feb,66.5
315,Botswana,2016,Mar,72.19
316,Botswana,2016,Apr,23.35
317,Botswana,2016,May,7.05
318,Botswana,2016,Jun,1.79
319,Botswana,2016,Jul,1.89
320,Botswana,2016,Aug,0.5
321,Botswana,2016,Sep,3.53
322,Botswana,2016,Oct,15.87
323,Botswana,2016,Nov,45.74
324,Botswana,2016,Dec,69.74
325,Botswana,2017,Jan,105.42
326,Botswana,2017,Feb,116.91
327,Botswana,2017,Mar,46.51
328,Botswana,2017,Apr,34.8
329,Botswana,2017,May,4.99
330,Botswana,2017,Jun,0.96
331,Botswana,2017,Jul,0.34
332,Botswana,2017,Aug,0.44
333,Botswana,2017,Sep,2.85
334,Botswana,2017,Oct,24.72
335,Botswana,2017,Nov,43.96
336,Botswana,2017,Dec,65.15
337,Botswana,2018,Jan,82.82
338,Botswana,2018,Feb,88.48
339,Botswana,2018,Mar,55.26
340,Botswana,2018,Apr,27.98
341,Botswana,2018,May,6.25
342,Botswana,2018,Jun,1.14
343,Botswana,2018,Jul,0.75
344,Botswana,2018,Aug,0.5
345,Botswana,2018,Sep,3.78
346,Botswana,2018,Oct,13.65
347,Botswana,2018,Nov,37.59
348,Botswana,2018,Dec,68.71
349,Botswana,2019,Jan,83.66
350,Botswana,2019,Feb,81.43
351,Botswana,2019,Mar,49.44
352,Botswana,2019,Apr,35.99
353,Botswana,2019,May,4.9
354,Botswana,2019,Jun,1.21
355,Botswana,2019,Jul,0.33
356,Botswana,2019,Aug,0.47
357,Botswana,2019,Sep,3.1
358,Botswana,2019,Oct,13.02
359,Botswana,2019,Nov,42.27
360,Botswana,2019,Dec,69.03
361,Botswana,2020,Jan,89.92
362,Botswana,2020,Feb,86.31
363,Botswana,2020,Mar,54.56
364,Botswana,2020,Apr,29.62
365,Botswana,2020,May,4.18
366,Botswana,2020,Jun,1.3
367,Botswana,2020,Jul,0.59
368,Botswana,2020,Aug,0.5
369,Botswana,2020,Sep,4.44
370,Botswana,2020,Oct,20.05
371,Botswana,2020,Nov,53.48
372,Botswana,2020,Dec,60.31
373,Botswana,2021,Jan,95.37
374,Botswana,2021,Feb,82.42
375,Botswana,2021,Mar,45.94
376,Botswana,2021,Apr,23.82
377,Botswana,2021,May,3.79
378,Botswana,2021,Jun,1.04
379,Botswana,2021,Jul,0.31
380,Botswana,2021,Aug,0.6
381,Botswana,2021,Sep,2.45
382,Botswana,2021,Oct,16.45
383,Botswana,2021,Nov,47.83
384,Botswana,2021,Dec,84.56
1,Kenya,1990,Jan,30.97
2,Kenya,1990,Feb,60.98
3,Kenya,1990,Mar,120.77
4,Kenya,1990,Apr,181.11
5,Kenya,1990,May,62.12
6,Kenya,1990,Jun,18.92
7,Kenya,1990,Jul,19.51
8,Kenya,1990,Aug,22.75
9,Kenya,1990,Sep,21.36
10,Kenya,1990,Oct,59.31
11,Kenya,1990,Nov,92.43
12,Kenya,1990,Dec,79.76
13,Kenya,1991,Jan,32.97
14,Kenya,1991,Feb,11.47
15,Kenya,1991,Mar,75.71
16,Kenya,1991,Apr,87.12
17,Kenya,1991,May,119.17
18,Kenya,1991,Jun,32.22
19,Kenya,1991,Jul,36.59
20,Kenya,1991,Aug,34.68
21,Kenya,1991,Sep,17.07
22,Kenya,1991,Oct,44.73
23,Kenya,1991,Nov,63.74
24,Kenya,1991,Dec,57.99
25,Kenya,1992,Jan,13.47
26,Kenya,1992,Feb,15.42
27,Kenya,1992,Mar,18.47
28,Kenya,1992,Apr,129.79
29,Kenya,1992,May,83.33
30,Kenya,1992,Jun,29.81
31,Kenya,1992,Jul,35.95
32,Kenya,1992,Aug,33.03
33,Kenya,1992,Sep,28.53
34,Kenya,1992,Oct,52.04
35,Kenya,1992,Nov,108.57
36,Kenya,1992,Dec,101.62
37,Kenya,1993,Jan,65.87
38,Kenya,1993,Feb,51.47
